Animals	48040	organismo	B01.050
Dogs	43033	organismo	B01.050.150.900.649.147.153.200,B01.050.150.900.649.313.750.250.216.200,B01.050.150.900.649.313.750.600.216.200
Dog Diseases	41536	enfermedad	C22.268
Female	21864	sin_arbol	
Male	20216	sin_arbol	
Humans	11631	organismo	B01.050.150.900.649.313.988.400.112.400.400,B01.050.150.900.649.801.400.112.400.400
Cats	7116	organismo	B01.050.150.900.649.147.354.250.125,B01.050.150.900.649.313.750.377.750.250.125
Cat Diseases	6696	enfermedad	C22.180
Retrospective Studies	4470	ruido	E05.318.372.500.500.500,E05.318.372.500.750.750,E05.318.760.500.500.500,E05.318.760.500.750.750,N05.715.360.330.500.500.500,N05.715.360.330.500.750.825,N05.715.360.775.175.200.710,N05.715.360.775.175.250.815,N06.850.520.450.500.500.500,N06.850.520.450.500.750.825
Prevalence	3317	ruido	E05.318.308.985.525.750,L01.280.975.525.750,N01.224.935.597.750,N06.850.505.400.975.525.750,N06.850.520.308.985.525.750
Phylogeny	3017	ruido	G05.045.594,G05.697,G16.075.605,G16.100.178.605,L01.100.697
Leishmaniasis, Visceral	2835	enfermedad	C01.610.752.300.500.510,C01.920.813.510,C03.752.300.500.510
Rabies	2832	enfermedad	C01.925.782.580.830.750,C02.782.580.830.750
Leishmania infantum	2689	organismo	B01.268.475.868.488.325
Treatment Outcome	2640	procedimiento	E01.789.800,N04.761.559.590.800,N05.715.360.575.575.800
Risk Factors	2637	ruido	E05.318.740.600.800.725,N05.715.350.200.700,N05.715.360.750.625.700.700,N06.850.490.625.750,N06.850.520.830.600.800.725
Prospective Studies	2377	ruido	E05.318.372.500.750.625,E05.318.760.500.750.625,N05.715.360.330.500.750.650,N05.715.360.775.175.250.630,N06.850.520.450.500.750.650
Zoonoses	2190	enfermedad	C01.908,C01.973,C02.968,C03.908,C22.969
Feces	1927	anatomia	A12.459
Biomarkers	1806	farmaco_quimico	D23.101
Cross-Sectional Studies	1785	ruido	E05.318.372.500.875,E05.318.760.500.875,N05.715.360.330.500.875,N05.715.360.775.175.275,N06.850.520.450.500.875
Rabies Vaccines	1679	farmaco_quimico	D20.215.894.899.700
Dirofilariasis	1678	enfermedad	C01.610.335.349.320,C01.610.335.508.700.750.361.290,C01.610.701.377.320,C01.920.852.188,C03.335.349.320,C03.335.508.700.750.361.290,C03.701.377.320,C22.674.377.320
Genotype	1654	otro	G05.380
Brazil	1602	ruido	Z01.107.757.176
Pets	1556	organismo	B01.050.050.116.600
Polymerase Chain Reaction	1518	ruido	E05.393.620.500
Seroepidemiologic Studies	1500	ruido	E05.318.372.500.950,E05.318.760.500.950,N05.715.360.330.500.950,N05.715.360.775.175.800,N06.850.520.450.500.950
Surveys and Questionnaires	1485	ruido	E05.318.308.980,L01.280.960,N05.715.360.300.800,N06.850.520.308.980
Vaccination	1482	procedimiento	E02.095.465.425.400.530.890,E05.478.550.600.890,N02.421.726.758.310.890,N06.850.780.200.425.900,N06.850.780.680.310.890
Leishmaniasis	1475	enfermedad	C01.610.752.300.500,C01.610.858.560,C01.920.813,C03.752.300.500,C03.858.560,C17.800.838.775.560
Sensitivity and Specificity	1462	ruido	E05.318.370.800,E05.318.740.872,E05.318.780.800,G17.800,N05.715.360.325.700,N05.715.360.750.725,N05.715.360.780.700,N06.850.520.445.800,N06.850.520.830.872
Dirofilaria immitis	1443	organismo	B01.050.500.500.294.400.937.463.230.300,B01.050.500.500.294.700.750.700.300.230.300
Tick Infestations	1435	enfermedad	C01.610.858.211.857,C03.858.211.857
Enzyme-Linked Immunosorbent Assay	1428	ruido	E05.478.566.350.170,E05.478.566.380.360,E05.478.583.400.170,E05.601.470.350.170,E05.601.470.380.360,E05.601.495.350.170,E05.601.495.380.360
Anti-Bacterial Agents	1400	farmaco_quimico	D27.505.954.122.085
Adult	1346	ruido	M01.060.116
Distemper	1338	enfermedad	C01.925.782.580.600.500.285,C02.782.580.600.500.285,C22.268.265
Case-Control Studies	1252	ruido	E05.318.372.500.500,E05.318.760.500.500,N05.715.360.330.500.500,N05.715.360.775.175.200,N06.850.520.450.500.500
Distemper Virus, Canine	1202	organismo	B04.820.455.600.650.500.280,B04.820.480.937.600.650.500.280,B04.909.777.455.600.650.500.280
Antibodies, Protozoan	1195	farmaco_quimico	D12.776.124.486.485.114.252,D12.776.124.790.651.114.252,D12.776.377.715.548.114.252
Genetic Predisposition to Disease	1114	enfermedad	C23.550.291.687.500,G05.380.355
Gene Expression Regulation, Neoplastic	1062	otro	G05.308.370,G05.355.315.370
